filename,label
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_43.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_44.jpg,cycling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_45.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_46.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_47.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_48.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_49.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_50.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_51.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_52.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_53.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_54.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_55.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_56.jpg,cycling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_57.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_58.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_59.jpg,clapping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_60.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_61.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_62.jpg,sitting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_63.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_64.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_65.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_66.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_67.jpg,cycling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_68.jpg,clapping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_69.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_70.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_71.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_72.jpg,cycling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_73.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_74.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_75.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_76.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_77.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_78.jpg,sitting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_79.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_80.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_81.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_82.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_83.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_84.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_85.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_86.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_87.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_88.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_89.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_90.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_91.jpg,dancing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_92.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_93.jpg,cycling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_94.jpg,clapping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_95.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_96.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_97.jpg,dancing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_98.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_99.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_100.jpg,fighting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_101.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_102.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_103.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_104.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_105.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_106.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_107.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_108.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_109.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_110.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_111.jpg,fighting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_112.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_113.jpg,cycling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_114.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_115.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_116.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_117.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_118.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_119.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_120.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_121.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_122.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_123.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_124.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_125.jpg,dancing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_126.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_127.jpg,dancing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_128.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_129.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_130.jpg,sitting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_131.jpg,cycling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_132.jpg,dancing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_133.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_134.jpg,fighting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_135.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_136.jpg,clapping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_137.jpg,cycling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_138.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_139.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_140.jpg,dancing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_141.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_142.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_143.jpg,fighting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_144.jpg,clapping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_145.jpg,fighting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_146.jpg,sitting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_147.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_148.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_149.jpg,clapping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_150.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_151.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_152.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_153.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_154.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_155.jpg,fighting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_156.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_157.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_158.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_159.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_160.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_161.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_162.jpg,sitting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_163.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_164.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_165.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_166.jpg,clapping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_167.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_168.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_169.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_170.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_171.jpg,clapping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_172.jpg,cycling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_173.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_174.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_175.jpg,fighting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_176.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_177.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_178.jpg,cycling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_179.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_180.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_181.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_182.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_183.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_184.jpg,dancing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_185.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_186.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_187.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_188.jpg,sitting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_189.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_190.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_191.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_192.jpg,fighting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_193.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_194.jpg,dancing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_195.jpg,sitting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_196.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_197.jpg,sitting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_198.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_199.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_200.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_201.jpg,sitting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_202.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_203.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_204.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_205.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_206.jpg,clapping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_207.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_208.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_209.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_210.jpg,fighting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_211.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_212.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_213.jpg,dancing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_214.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_215.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_216.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_217.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_218.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_219.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_220.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_221.jpg,cycling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_222.jpg,sitting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_223.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_224.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_225.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_226.jpg,clapping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_227.jpg,clapping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_228.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_229.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_230.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_231.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_232.jpg,fighting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_233.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_234.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_235.jpg,sitting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_236.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_237.jpg,sitting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_238.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_239.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_240.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_241.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_242.jpg,sitting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_243.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_244.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_245.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_246.jpg,dancing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_247.jpg,sitting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_248.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_249.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_250.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_251.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_252.jpg,fighting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_253.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_254.jpg,dancing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_255.jpg,cycling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_256.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_257.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_258.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_259.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_260.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_261.jpg,sitting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_262.jpg,fighting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_263.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_264.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_265.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_266.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_267.jpg,fighting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_268.jpg,dancing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_269.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_270.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_271.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_272.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_273.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_274.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_275.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_276.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_277.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_278.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_279.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_280.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_281.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_282.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_283.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_284.jpg,clapping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_285.jpg,fighting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_286.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_287.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_288.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_289.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_290.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_291.jpg,clapping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_292.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_293.jpg,clapping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_294.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_295.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_296.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_297.jpg,fighting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_298.jpg,clapping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_299.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_300.jpg,cycling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_301.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_302.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_303.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_304.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_305.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_306.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_307.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_308.jpg,clapping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_309.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_310.jpg,sitting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_311.jpg,cycling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_312.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_313.jpg,listening_to_music
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_314.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_315.jpg,fighting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_316.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_317.jpg,dancing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_318.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_319.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_320.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_321.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_322.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_323.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_324.jpg,clapping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_325.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_326.jpg,calling
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_327.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_328.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_329.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_330.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_331.jpg,texting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_332.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_333.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_334.jpg,using_laptop
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_335.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_336.jpg,fighting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_337.jpg,laughing
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_338.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_339.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_340.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_341.jpg,sitting
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_342.jpg,eating
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_343.jpg,drinking
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_344.jpg,hugging
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_345.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_346.jpg,sleeping
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_347.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_348.jpg,running
C:/Users/anany/Desktop/har/Human Action Recognition/train/Image_349.jpg,clapping
